Transaction Hash,Status,Type,Method ,Block,Age,From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee,
0xddd10a3124c0158331fbdccd97c3051177acb8ed34cc40d04c4e7259beca4c5b,Success,ERC-20,Transfer,Transfer,22591553,6 days ago,0x4F6795ce2Cd1CDB10d39602D8299a2e6375536e3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"89,593.33","$4,614.68",Ultra Token(UOS),0.00009802
0x4db1ed4129ff3ab7cfe95c09d244250629d7311ee0dbbc07bba6a74df9ca4b6d,Success,ERC-20,Transfer,Transfer,22588007,7 days ago,0x0BD49B44bD9A4Db9cB25b5564661Fa1032fF1290, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"59,221.88","$3,050.34",Ultra Token(UOS),0.00009683
0x5054a9f631fdc9dc8268440bf9d15c15042a8803cc779effcc72b8ac35e62314,Success,ERC-20,Transfer,Transfer,22586801,7 days ago,0x628758f7a97eba5d83f21a4f11e2550976007706, Bithumb Routing Wallet #3,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"156,292.35","$8,050.15",Ultra Token(UOS),0.00008531
0xf881ca0d66b11aebca86a7a8d1f647d29622c74f9fe018c3a46a56b70b4b9d1c,Success,ERC-20,Transfer,Transfer,22586789,7 days ago,0x22913eD9413Ec338E15673004B03EfFB9efEa731, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"27,396.51","$1,411.11",Ultra Token(UOS),0.00008161
0xddc43e99c298f643bb79fedb2ca7d1e7cc7ef05e8ab42d6d583c222e75b34363,Success,ERC-20,Transfer,Transfer,22585244,7 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"700,000","$36,054.90",Ultra Token(UOS),0.00006116
0x4e03d84723d0d67f90b5865c8557c58b0f565ca98424fbdf1bf9eca211ba4813,Success,ERC-20,Transfer,Transfer,22585208,7 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0.001,$0.00,Ultra Token(UOS),0.00007019
0x19976bfd7d510ea4146ab080510b4065b4bab99121e93fe2ab3971a725692154,Success,ERC-20,Transfer,Transfer,22582117,7 days ago,0x9f9e47667B5C69321d89C926D51FEe72Bc872534, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"76,153.85","$3,922.46",Ultra Token(UOS),0.00038703
0x3a792f68be01bec0663067a75bc4cc6efcdc5ef0a0b4330a526a6ca9a7473e8e,Success,ERC-20,Transfer,Transfer,22582112,7 days ago,0x4F6795ce2Cd1CDB10d39602D8299a2e6375536e3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"90,498.31","$4,661.30",Ultra Token(UOS),0.00037081
0x8787be2fea230d6ea614a34f48893606a513a0ff540a4badc9f62502bd86b18b,Success,ERC-20,Transfer,Transfer,22580110,8 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"500,000","$25,753.50",Ultra Token(UOS),0.00008223
0x282730c9f8c9de8185696791c910048a57f7f51cfba1bba4b527a7155643052a,Success,ERC-20,Transfer,Transfer,22579976,8 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0.001,$0.00,Ultra Token(UOS),0.00007235
